WigleWifi-1.4,appRelease=2.26,model=Nexus 5,release=6.0.1,device=hammerhead,display=M4B30Z,board=hammerhead,brand=google
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
1c:b9:c4:16:06:b8,Ariel_University,[ESS],2017-11-07 16:37:24,1,-83,32.10370551,35.20960778,698,8,WIFI
1c:b9:c4:95:ed:b7,,[WPA2-PSK-CCMP][ESS],2017-11-07 16:37:24,48,-70,32.10370551,35.20960778,698,8,WIFI
1c:b9:c4:15:ed:bc,IT-MNG,[WPA2-PSK-CCMP+TKIP][ESS],2017-11-07 16:37:24,48,-70,32.10370551,35.20960778,698,8,WIFI
3c:52:82:ef:d4:52,DIRECT-51-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2017-11-07 16:37:24,6,-84,32.10370551,35.20960778,698,8,WIFI
1c:b9:c4:16:06:bc,Ariel_University,[ESS],2017-11-07 16:37:24,36,-85,32.10370551,35.20960778,698,8,WIFI
a0:8c:fd:0a:24:56,DIRECT-13-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2017-11-07 16:37:27,6,-80,32.10372606,35.20963847,698,6,WIFI
1c:b9:c4:15:ed:b8,IT-MNG,[WPA2-PSK-CCMP+TKIP][ESS],2017-11-07 16:37:27,1,-63,32.10372606,35.20963847,698,6,WIFI
1c:b9:c4:15:1c:bc,Ariel_University,[ESS],2017-11-07 16:37:27,36,-85,32.10372606,35.20963847,698,6,WIFI
1c:b9:c4:15:1c:b8,Ariel_University,[ESS],2017-11-07 16:37:27,1,-85,32.10372606,35.20963847,698,6,WIFI
1c:b9:c4:16:ed:48,Ariel_University,[ESS],2017-11-07 16:37:33,6,-63,32.10375149,35.20973538,701,6,WIFI
1c:b9:c4:16:ed:4c,Ariel_University,[ESS],2017-11-07 16:37:33,36,-65,32.10375149,35.20973538,701,6,WIFI
1c:b9:c4:16:06:b8,Ariel_University,[ESS],2017-11-07 16:37:33,1,-74,32.10375149,35.20973538,701,6,WIFI
1c:b9:c4:15:ed:bc,IT-MNG,[WPA2-PSK-CCMP+TKIP][ESS],2017-11-07 16:37:33,48,-61,32.10375149,35.20973538,701,6,WIFI
1c:b9:c4:16:06:bc,Ariel_University,[ESS],2017-11-07 16:37:33,36,-80,32.10375149,35.20973538,701,6,WIFI
1c:b9:c4:96:ed:47,,[WPA2-PSK-CCMP][ESS],2017-11-07 16:37:37,36,-80,32.10375961,35.20979334,701,5,WIFI
3c:52:82:ef:a4:8b,DIRECT-8A-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2017-11-07 16:37:41,6,-78,32.10379879,35.209831,704,4,WIFI
24:79:2a:2c:5b:d8,Ariel_University,[ESS],2017-11-07 16:37:41,1,-81,32.10379879,35.209831,704,4,WIFI
1c:b9:c4:16:1d:7c,Ariel_University,[ESS],2017-11-07 16:37:41,44,-89,32.10379879,35.209831,704,4,WIFI
1c:b9:c4:16:e5:ac,Ariel_University,[ESS],2017-11-07 16:37:41,52,-90,32.10379879,35.209831,704,4,WIFI
24:79:2a:2b:07:b8,Ariel_University,[ESS],2017-11-07 16:37:41,11,-87,32.10379879,35.209831,704,4,WIFI
10:0d:7f:99:32:5e,Bezeq-n_325E,[WPS][ESS],2017-11-07 16:37:41,11,-88,32.10379879,35.209831,704,4,WIFI
